player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100001,Gardnar,Mulloy,R,1913-11-22,USA,185,Q54544
100002,Pancho,Segura,R,1921-06-20,ECU,168,Q54581
100003,Frank,Sedgman,R,1927-10-02,AUS,180,Q962049
100004,Giuseppe,Merlo,R,1927-10-11,ITA,NA,Q1258752
100005,Richard,Gonzalez,R,1928-05-09,USA,188,Q53554
100006,Grant,Golden,R,1929-08-21,USA,175,Q3115390
100007,Abe,Segal,L,1930-10-23,RSA,NA,Q1258527
100008,Kurt,Nielsen,R,1930-11-19,DEN,NA,Q552261
100009,Istvan,Gulyas,R,1931-10-14,HUN,NA,Q51066
100010,Luis,Ayala,R,1932-09-18,CHI,170,Q1275397
100011,Torben,Ulrich,L,1928-10-04,DEN,180,Q785404
100012,Nicola,Pietrangeli,R,1933-09-11,ITA,178,Q709909
100013,Neale,Fraser,L,1933-10-03,AUS,185,Q715173
100014,Trevor,Fancutt,R,1934-07-14,RSA,NA,Q3538577
100015,Sammy,Giammalva,R,1934-08-01,USA,180,Q963700
100016,Ken,Rosewall,R,1934-11-02,AUS,175,Q312728
100017,Mal,Anderson,R,1935-03-03,AUS,NA,Q963687
100018,Barry,Mackay,R,1935-08-31,USA,190,Q1258939
100019,Wieslaw,Gasiorek,R,1936-01-13,POL,NA,Q1258736
100020,Alejandro,Olmedo,R,1936-03-24,PER,178,Q734544
100021,Ashley,Cooper,R,1936-09-15,AUS,178,Q712208
100022,Roy,Emerson,R,1936-11-03,AUS,183,Q312545
100023,Ramanathan,Krishnan,R,1937-04-11,IND,NA,Q1559952
100024,Jan Erik,Lundquist,R,1937-04-14,SWE,191,Q1341605
100025,Barry,Phillips Moore,R,1937-07-09,AUS,173,Q1563886
100026,Andres,Gimeno,R,1937-08-03,ESP,185,Q315958
100027,Gene,Scott,R,1937-12-28,USA,185,Q1282493
100028,Manuel,Santana,R,1938-05-10,ESP,170,Q445602
100029,Rod,Laver,L,1938-08-09,AUS,173,Q105550
100030,Fred,Stolle,R,1938-10-08,AUS,190,Q54671
100031,Dimitri,Sturdza,R,1938-11-10,SUI,NA,Q20431255
100032,Patricio,Rodriguez Chi,R,1938-12-20,CHI,188,Q7145979
100033,Wilhelm,Bungert,R,1939-04-01,GER,188,Q77579
100034,Christian,Kuhnke,L,1939-04-13,GER,NA,Q461558
100035,Ion,Tiriac,R,1939-05-09,ROU,185,Q924245
100036,Rudy,Hernando,R,1939-06-10,USA,NA,NA
100037,Nikola,Pilic,L,1939-08-27,CRO,191,Q452365
100038,Jaime,Pinto Bravo,R,1939-10-09,CHI,178,Q18390167
100039,Boro,Jovanovic,R,1939-10-21,CRO,NA,Q1259703
100040,Bob,Hewitt,R,1940-01-12,RSA,190,Q52453
100041,Ned,Neely,R,1940-01-14,USA,NA,NA
100042,Ryoichi,Mori,R,1940-01-14,JPN,NA,NA
100043,Zdenek,Slizek,R,1940-02-19,CZE,NA,NA
100044,Sergei,Likhachev,R,1940-03-20,RUS,NA,Q3479599
