tourney_name,tourney_year,latitude,longitude,date,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M
ATP Rio de Janeiro,2020,-22.9110137,-43.2093727,2020-02-17,28.54,24.14,6.45,2.11,87.55
Acapulco,2010,16.8680495,-99.8940182,2010-02-22,29.63,20.49,0,2.9,60.28
Acapulco,2011,16.8680495,-99.8940182,2011-02-21,29.89,20.93,0,2.28,56.53
Acapulco,2012,16.8680495,-99.8940182,2012-02-27,32.6,21.07,0,2.1,57.66
Acapulco,2013,16.8680495,-99.8940182,2013-02-25,31.02,21.58,0,3.27,68.43
Acapulco,2014,16.8680495,-99.8940182,2014-02-24,32.7,21.84,0,2.03,61.31
Acapulco,2015,16.8680495,-99.8940182,2015-02-23,33.25,21.51,0,2.23,60.24
Acapulco,2016,16.8680495,-99.8940182,2016-02-22,31.12,22.59,0,2.07,62.45
Acapulco,2017,16.8680495,-99.8940182,2017-02-27,31.89,19.01,0,2.04,59.41
Acapulco,2018,16.8680495,-99.8940182,2018-02-26,30.51,22.2,0.11,2.55,73.05
Acapulco,2019,16.8680495,-99.8940182,2019-02-25,33.28,21.95,0,2.12,62.96
Acapulco,2020,16.8680495,-99.8940182,2020-02-24,31.1,21.46,0,2.12,71.48
Acapulco,2021,16.8680495,-99.8940182,2021-03-15,30.99,21.11,0,2.04,67.48
Acapulco,2022,16.8680495,-99.8940182,2022-02-21,33.05,23.16,0,2.24,65.22
Acapulco,2023,16.8680495,-99.8940182,2023-02-27,31.31,22.29,0,2.84,68.99
Acapulco,2024,16.8680495,-99.8940182,2024-02-26,32.57,22.65,0,2.73,70.78
Adelaide,2020,-34.9281805,138.5999312,2020-01-13,34.64,16.39,0,2.44,37.86
Adelaide,2024,-34.9281805,138.5999312,2024-01-08,23.34,15.24,5.71,4.12,76.49
Adelaide 1,2022,-34.9281805,138.5999312,2022-01-03,26.28,13.68,0,4.04,58.09
Adelaide 1,2023,-34.9281805,138.5999312,2023-01-02,29.53,14.33,0.39,3.54,58.32
Adelaide 2,2022,-34.9281805,138.5999312,2022-01-10,38.05,19.68,0,2.76,27.51
Adelaide 2,2023,-34.9281805,138.5999312,2023-01-09,30.25,16.34,0,4.01,56.76
Almaty,2024,43.2363924,76.9457275,2024-10-14,9.63,2.53,0.7,2.17,73.83
Antalya,2017,36.8865728,30.7030242,2017-06-26,36.14,21.61,0,1.84,36.63
Antalya,2018,36.8865728,30.7030242,2018-06-25,31.08,20.83,5.87,1.63,60.44
Antalya,2019,36.8865728,30.7030242,2019-06-24,35.02,20.72,0,1.63,43.21
Antalya,2021,36.8865728,30.7030242,2021-01-05,13.77,11.36,28.45,3.32,92.58
Antwerp,2016,51.2211097,4.3997081,2016-10-17,17.07,8.44,0.63,2.57,88.37
Antwerp,2017,51.2211097,4.3997081,2017-10-16,23.97,12.87,0.11,3.4,78.25
Antwerp,2018,51.2211097,4.3997081,2018-10-15,23.95,15.05,0.31,2.42,67.41
Antwerp,2019,51.2211097,4.3997081,2019-10-14,21.92,11.77,7.15,2.39,87.5
Antwerp,2020,51.2211097,4.3997081,2020-10-19,14.84,5.09,0.07,2.48,79.89
Antwerp,2021,51.2211097,4.3997081,2021-10-18,14.59,5.42,0.35,3.26,82.46
Antwerp,2022,51.2211097,4.3997081,2022-10-17,18.97,13.69,4.04,2.91,93.89
Antwerp,2023,51.2211097,4.3997081,2023-10-16,13.22,5.69,0.03,1.64,82.92
Antwerp,2024,51.2211097,4.3997081,2024-10-14,10.12,5.41,8.21,2.17,93.76
Astana,2022,51.1282205,71.4306682,2022-10-03,9.08,-3.83,0,3.68,57.24
Astana,2023,51.1282205,71.4306682,2023-09-25,18.13,9.03,0.67,2.79,76.05
Atlanta,2010,33.7544657,-84.3898151,2010-07-19,31.23,21.22,0.24,0.86,78.63
Atlanta,2011,33.7544657,-84.3898151,2011-07-18,34.23,19.76,2.45,0.4,62.34
Atlanta,2012,33.7544657,-84.3898151,2012-07-16,32.48,21.94,2.83,0.5,67.11
Atlanta,2013,33.7544657,-84.3898151,2013-07-22,28.34,21.14,5.37,1.22,87.84
Atlanta,2014,33.7544657,-84.3898151,2014-07-21,29.33,20.9,3.38,0.87,82.83
Atlanta,2015,33.7544657,-84.3898151,2015-07-27,35.76,22.36,1.15,0.48,65.22
Atlanta,2016,33.7544657,-84.3898151,2016-08-01,35.24,22.87,2.9,0.67,68.65
Atlanta,2017,33.7544657,-84.3898151,2017-07-24,32.78,22.09,5.03,0.59,76.8
Atlanta,2018,33.7544657,-84.3898151,2018-07-23,32.97,18.73,7.14,0.49,75.54
Atlanta,2019,33.7544657,-84.3898151,2019-07-22,32.52,21.48,3.52,0.97,69.84
Atlanta,2021,33.7544657,-84.3898151,2021-07-26,34.56,21.33,3.49,0.47,68.99
Atlanta,2022,33.7544657,-84.3898151,2022-07-25,33.75,22.09,0.97,0.79,66.8
Atlanta,2023,33.7544657,-84.3898151,2023-07-24,33.49,18.98,1.84,0.72,64.67
Atlanta,2024,33.7544657,-84.3898151,2024-07-22,32.17,21.07,1.33,0.77,74.46
Atp Cup,2020,-33.8698439,151.2082848,2020-01-06,23.32,20.77,2.88,2.94,72.3
Atp Cup,2021,-33.8698439,151.2082848,2021-02-02,21.83,19.25,31.42,4.55,76.83
Atp Cup,2022,-33.8698439,151.2082848,2022-01-03,25.31,21.51,0.22,2.9,74.99
Auckland,2010,-36.852095,174.7631803,2010-01-11,18.88,14.44,9.39,6.82,70.45
Auckland,2011,-36.852095,174.7631803,2011-01-10,24.58,16.35,0,2.1,62.98
Auckland,2012,-36.852095,174.7631803,2012-01-09,22,17.36,2.45,6.7,81.75
Auckland,2013,-36.852095,174.7631803,2013-01-07,22.34,16.62,0,7.94,75.3
Auckland,2014,-36.852095,174.7631803,2014-01-06,21.83,15.08,0,4.56,66.78
Auckland,2015,-36.852095,174.7631803,2015-01-12,24.32,17.83,0.14,5.36,76.36
Auckland,2016,-36.852095,174.7631803,2016-01-11,23.02,14.55,0.66,3.65,74.82
Auckland,2017,-36.852095,174.7631803,2017-01-09,21.16,16.29,0.28,6.74,71.88
Auckland,2018,-36.852095,174.7631803,2018-01-08,23.99,16.83,0.05,3.56,69.73
Auckland,2019,-36.852095,174.7631803,2019-01-07,24.06,18.15,0.31,4.88,78.4
Auckland,2020,-36.852095,174.7631803,2020-01-13,23.49,15.15,1.29,2.81,75.74
Auckland,2023,-36.852095,174.7631803,2023-01-09,23.65,18.78,4.43,6.49,80.67
Auckland,2024,-36.852095,174.7631803,2024-01-08,24.16,18.58,0.99,2.72,76.53
Australian Open,2010,-37.8142454,144.9631732,2010-01-18,17.17,11.66,9.83,6.25,71.82
Australian Open,2011,-37.8142454,144.9631732,2011-01-17,19.89,13.77,0.19,4.4,73.65
Australian Open,2012,-37.8142454,144.9631732,2012-01-16,30.49,14.64,0,3.66,56.83
Australian Open,2013,-37.8142454,144.9631732,2013-01-14,20.75,13.41,0.01,3.73,57.33
Australian Open,2014,-37.8142454,144.9631732,2014-01-13,32.18,12.56,0,1.47,58.43
Australian Open,2015,-37.8142454,144.9631732,2015-01-19,21.33,13.08,0.03,3.43,59.4
Australian Open,2016,-37.8142454,144.9631732,2016-01-18,33.68,18.34,0,3.69,43.69
Australian Open,2017,-37.8142454,144.9631732,2017-01-16,32.08,13.11,0,1.25,56.03
Australian Open,2018,-37.8142454,144.9631732,2018-01-15,22.11,14.51,0.64,4.42,74.31
Australian Open,2019,-37.8142454,144.9631732,2019-01-14,35.62,16.52,0,2.11,63.59
Australian Open,2020,-37.8142454,144.9631732,2020-01-20,19.92,15.39,21.46,3.95,91.24
Australian Open,2021,-37.8142454,144.9631732,2021-02-08,19.21,13.09,0.08,4.2,72.99
Australian Open,2022,-37.8142454,144.9631732,2022-01-17,23.88,15.89,0.3,4.03,70.35
Australian Open,2023,-37.8142454,144.9631732,2023-01-16,27.33,14.49,0.22,2.05,67.93
Australian Open,2024,-37.8142454,144.9631732,2024-01-15,26.25,16.3,4.3,3.02,77.96
Bangkok,2010,13.7524938,100.4935089,2010-09-27,30.04,25.27,25.78,0.67,86.3
Bangkok,2011,13.7524938,100.4935089,2011-09-26,30.54,23.28,10.99,1.89,87.34
Bangkok,2012,13.7524938,100.4935089,2012-09-24,28.94,24.55,12.79,1.59,91.04
Bangkok,2013,13.7524938,100.4935089,2013-09-23,27.39,23.58,3.02,2.3,91.38
Banja Luka,2023,44.7720845,17.1917651,2023-04-17,14.38,7.6,9.19,0.72,92.09
Barcelona,2010,41.3825802,2.177073,2010-04-19,20.46,8.24,0.03,1.55,68.87
Barcelona,2011,41.3825802,2.177073,2011-04-18,19.51,9.63,0,1.99,68.9
Barcelona,2012,41.3825802,2.177073,2012-04-23,18.13,7.33,0.45,3.37,68.93
Barcelona,2013,41.3825802,2.177073,2013-04-22,18.9,7.46,0,1.93,68.92
Barcelona,2014,41.3825802,2.177073,2014-04-21,15.94,11.1,5.09,1.92,84.15
Barcelona,2015,41.3825802,2.177073,2015-04-20,20.09,10.21,0.36,1.61,74.36
Barcelona,2016,41.3825802,2.177073,2016-04-18,19.91,10.14,0.2,2.22,71.81
Barcelona,2017,41.3825802,2.177073,2017-04-24,21.91,10.74,0,2.09,58.95
Barcelona,2018,41.3825802,2.177073,2018-04-23,21.34,13.82,0.19,1.09,61.68
Barcelona,2019,41.3825802,2.177073,2019-04-22,18.81,11.11,6.57,4.77,72.96
Barcelona,2021,41.3825802,2.177073,2021-04-19,16.92,6.94,0,2.15,80.12
Barcelona,2022,41.3825802,2.177073,2022-04-18,19.89,11.32,0.03,1.99,74.1
Barcelona,2023,41.3825802,2.177073,2023-04-17,19.83,7.6,0.81,2.26,58.93
Barcelona,2024,41.3825802,2.177073,2024-04-15,24.2,13.32,0.26,2.01,58.76
Basel,2010,47.5581077,7.5878261,2010-11-01,10.36,4.32,0.33,1.06,96.53
Basel,2011,47.5581077,7.5878261,2011-10-31,14.37,5.93,0.07,0.97,91.4
Basel,2012,47.5581077,7.5878261,2012-10-22,18.71,7.59,0.06,0.78,91.75
Basel,2013,47.5581077,7.5878261,2013-10-21,17.72,9.63,0.83,1.08,86.98
Basel,2014,47.5581077,7.5878261,2014-10-20,20.99,12.4,2.99,1.65,89.55
Basel,2015,47.5581077,7.5878261,2015-10-26,13.6,6.53,0.14,1.13,92.75
Basel,2016,47.5581077,7.5878261,2016-10-24,18,6.52,2.15,1.5,84.85
Basel,2017,47.5581077,7.5878261,2017-10-23,10.09,4.95,5.13,2.35,92.51
Basel,2018,47.5581077,7.5878261,2018-10-22,13.88,1.44,0.01,1.9,80.11
Basel,2019,47.5581077,7.5878261,2019-10-21,14.21,9.22,13.8,1,91.81
Basel,2022,47.5581077,7.5878261,2022-10-24,16.91,9.28,4.22,1.92,89.64
Basel,2023,47.5581077,7.5878261,2023-10-23,15.62,5.21,1.47,1.59,88.7
Basel,2024,47.5581077,7.5878261,2024-10-21,20.57,9.54,0.44,0.9,85.83
