tourney_name,first_year,last_year,n_years,surfaces,n_surfaces
ATP Rio de Janeiro,2020,2020,1,Clay,1
Acapulco,2001,2024,24,"Clay, Hard",2
Adelaide,2000,2024,11,Hard,1
Adelaide 1,2022,2023,2,Hard,1
Adelaide 2,2022,2023,2,Hard,1
Almaty,2024,2024,1,Hard,1
Amersfoort,2002,2008,7,Clay,1
Amsterdam,2000,2001,2,Clay,1
Antalya,2017,2021,4,"Grass, Hard",2
Antwerp,2016,2024,9,Hard,1
Astana,2022,2023,2,Hard,1
Athens Olympics,2004,2004,1,Hard,1
Atlanta,2000,2024,16,"Clay, Hard",2
Atp Cup,2020,2022,3,Hard,1
Auckland,2000,2024,23,Hard,1
Australian Open,2000,2024,25,Hard,1
Bangkok,2003,2013,11,Hard,1
Banja Luka,2023,2023,1,Clay,1
Barcelona,2000,2024,24,Clay,1
Basel,2000,2024,23,"Carpet, Hard",2
Bastad,2000,2024,24,Clay,1
Beijing,2004,2024,18,Hard,1
Beijing Olympics,2008,2008,1,Hard,1
Belgrade,2009,2024,7,"Clay, Hard",2
Belgrade 2,2021,2021,1,Clay,1
Bogota,2000,2015,5,"Clay, Hard",2
Brighton,2000,2000,1,Hard,1
Brisbane,2009,2024,12,Hard,1
Bucharest,2000,2024,18,Clay,1
Budapest,2017,2019,3,Clay,1
Buenos Aires,2001,2024,24,Clay,1
Cagliari,2021,2021,1,Clay,1
Canada Masters,2000,2024,24,Hard,1
Casablanca,2000,2015,16,Clay,1
Chengdu,2016,2024,6,Hard,1
Chennai,2000,2017,18,Hard,1
Cincinnati Masters,2000,2024,25,Hard,1
Cologne 1,2020,2020,1,Hard,1
Cologne 2,2020,2020,1,Hard,1
Copenhagen,2000,2003,4,Hard,1
Cordoba,2019,2024,6,Clay,1
Costa Do Sauipe,2001,2011,11,"Clay, Hard",2
Dallas,2022,2024,3,Hard,1
Delray Beach,2000,2024,25,Hard,1
Doha,2000,2024,25,Hard,1
Dubai,2000,2024,25,Hard,1
Dusseldorf,2000,2014,15,Clay,1
