tourney_name,city,country,country_name,query,latitude,longitude
ATP Rio de Janeiro,Rio de Janeiro,BRA,Brazil,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727
Acapulco,Acapulco,MEX,Mexico,"Acapulco, Mexico",16.8680495,-99.8940182
Adelaide,Adelaide,AUS,Australia,"Adelaide, Australia",-34.9281805,138.5999312
Adelaide 1,Adelaide,AUS,Australia,"Adelaide, Australia",-34.9281805,138.5999312
Adelaide 2,Adelaide,AUS,Australia,"Adelaide, Australia",-34.9281805,138.5999312
Almaty,Almaty,KAZ,Kazakhstan,"Almaty, Kazakhstan",43.2363924,76.9457275
Antalya,Antalya,TUR,Turkey,"Antalya, Turkey",36.8865728,30.7030242
Antwerp,Antwerp,BEL,Belgium,"Antwerp, Belgium",51.2211097,4.3997081
Astana,Astana,KAZ,Kazakhstan,"Astana, Kazakhstan",51.1282205,71.4306682
Atlanta,Atlanta,USA,United States,"Atlanta, United States",33.7544657,-84.3898151
Atp Cup,Sydney,AUS,Australia,"Sydney, Australia",-33.8698439,151.2082848
Auckland,Auckland,NZL,New Zealand,"Auckland, New Zealand",-36.852095,174.7631803
Australian Open,Melbourne,AUS,Australia,"Melbourne, Australia",-37.8142454,144.9631732
Bangkok,Bangkok,THA,Thailand,"Bangkok, Thailand",13.7524938,100.4935089
Banja Luka,Banja Luka,BIH,Bosnia & Herzegovina,"Banja Luka, Bosnia & Herzegovina",44.7720845,17.1917651
Barcelona,Barcelona,ESP,Spain,"Barcelona, Spain",41.3825802,2.177073
Basel,Basel,CHE,Switzerland,"Basel, Switzerland",47.5581077,7.5878261
Bastad,Bastad,SWE,Sweden,"Bastad, Sweden",56.4268963,12.8608789
Beijing,Beijing,CHN,China,"Beijing, China",39.9057136,116.3912972
Belgrade,Belgrade,SRB,Serbia,"Belgrade, Serbia",44.8153318,20.4456588
Belgrade 2,Belgrade,SRB,Serbia,"Belgrade, Serbia",44.8153318,20.4456588
Bogota,Bogota,COL,Colombia,"Bogota, Colombia",4.6533817,-74.0836331
Brisbane,Brisbane,AUS,Australia,"Brisbane, Australia",-27.365991,152.948963
Bucharest,Bucharest,ROU,Romania,"Bucharest, Romania",44.4361414,26.102684
Budapest,Budapest,HUN,Hungary,"Budapest, Hungary",47.4813896,19.1457723
Buenos Aires,Buenos Aires,ARG,Argentina,"Buenos Aires, Argentina",-34.6095579,-58.3887904
Cagliari,Cagliari,ITA,Italy,"Cagliari, Italy",39.2171994,9.113311
Canada Masters,Toronto,CAN,Canada,"Toronto, Canada",43.6534817,-79.3839347
Casablanca,Casablanca,MAR,Morocco,"Casablanca, Morocco",33.5945144,-7.6200284
Chengdu,Chengdu,CHN,China,"Chengdu, China",30.659867,104.063315
Chennai,Chennai,IND,India,"Chennai, India",13.0836939,80.270186
Cincinnati Masters,Cincinnati,USA,United States,"Cincinnati, United States",39.1014537,-84.5124602
Cologne 1,Cologne,DEU,Germany,"Cologne, Germany",50.938361,6.959974
Cologne 2,Cologne,DEU,Germany,"Cologne, Germany",50.938361,6.959974
Cordoba,Cordoba,ARG,Argentina,"Cordoba, Argentina",-31.4166867,-64.1834193
Costa Do Sauipe,Costa do Sauipe,BRA,Brazil,"Costa do Sauipe, Brazil",-12.4391251,-37.9233062
Dallas,Dallas,USA,United States,"Dallas, United States",32.7762719,-96.7968559
Delray Beach,Delray Beach,USA,United States,"Delray Beach, United States",26.4614625,-80.0728201
Doha,Doha,QAT,Qatar,"Doha, Qatar",25.3108807,51.5081812
Dubai,Dubai,ARE,United Arab Emirates,"Dubai, United Arab Emirates",25.0742823,55.1885387
Dusseldorf,Dusseldorf,DEU,Germany,"Dusseldorf, Germany",51.2254018,6.7763137
Eastbourne,Eastbourne,GBR,United Kingdom,"Eastbourne, United Kingdom",50.7664372,0.2781546
Estoril,Estoril,PRT,Portugal,"Estoril, Portugal",38.7095707,-9.3901368
Florence,Florence,ITA,Italy,"Florence, Italy",43.7697955,11.2556404
Geneva,Geneva,CHE,Switzerland,"Geneva, Switzerland",46.2017559,6.1466014
Gijon,Gijon,ESP,Spain,"Gijon, Spain",43.5449422,-5.66275
Great Ocean Road Open,Melbourne,AUS,Australia,"Melbourne, Australia",-37.8142454,144.9631732
Gstaad,Gstaad,CHE,Switzerland,"Gstaad, Switzerland",46.4721619,7.288748
Halle,Halle,DEU,Germany,"Halle, Germany",51.4824354,11.9712985
Hamburg,Hamburg,DEU,Germany,"Hamburg, Germany",53.5501721,10.0013165
Hangzhou,Hangzhou,CHN,China,"Hangzhou, China",30.2489634,120.2052342
Hong Kong,Hong Kong,HKG,Hong Kong SAR China,"Hong Kong, Hong Kong SAR China",22.2792968,114.1628907
Houston,Houston,USA,United States,"Houston, United States",29.7589382,-95.3676974
Indian Wells Masters,Indian Wells,USA,United States,"Indian Wells, United States",33.7217965,-116.338303
Istanbul,Istanbul,TUR,Turkey,"Istanbul, Turkey",41.006381,28.9758715
Johannesburg,Johannesburg,ZAF,South Africa,"Johannesburg, South Africa",-26.205,28.049722
