rank_bin,win_rate,mid_point,n_obs
"(-200,-190]",0.7040816326530612,-194.62244897959184,196
"(-190,-180]",0.7467248908296943,-184.52838427947597,229
"(-180,-170]",0.754863813229572,-174.568093385214,257
"(-170,-160]",0.7484076433121019,-164.2420382165605,314
"(-160,-150]",0.7222222222222222,-154.0895061728395,324
"(-150,-140]",0.7112860892388452,-144.34120734908137,381
"(-140,-130]",0.7372708757637475,-134.4114052953157,491
"(-130,-120]",0.7163636363636363,-124.25454545454545,550
"(-120,-110]",0.7090663058186739,-114.27198917456022,739
"(-110,-100]",0.7259953161592506,-104.32552693208432,854
"(-100,-90]",0.7041587901701323,-94.24480151228734,1058
"(-90,-80]",0.7157360406091371,-84.35315445975344,1379
"(-80,-70]",0.7110222729868646,-74.25299828669331,1751
"(-70,-60]",0.7005444646098004,-64.33439201451905,2204
"(-60,-50]",0.6783216783216783,-54.264262053735735,2717
"(-50,-40]",0.6607407407407407,-44.34637037037037,3375
"(-40,-30]",0.6397680599178546,-34.358540710316504,4139
"(-30,-20]",0.6291793313069909,-24.491995947315097,4935
"(-20,-10]",0.5826303680981595,-14.389570552147239,5216
"(-10,0]",0.5530747398297067,-4.9360454115421,5285
"(0,10]",0.443758573388203,5.4110082304526745,5832
"(10,20]",0.4120505344995141,15.375315840621964,5145
"(20,30]",0.3728400081317341,25.441756454563937,4919
"(30,40]",0.35571463836089856,35.37151320661565,4051
"(40,50]",0.34243697478991597,45.389855942376954,3332
"(50,60]",0.31456456456456455,55.38513513513514,2664
"(60,70]",0.2968529826209488,65.43118835133866,2129
"(70,80]",0.2962308598351001,75.25736160188457,1698
"(80,90]",0.2846441947565543,85.27565543071161,1335
"(90,100]",0.28065134099616856,95.16379310344827,1044
"(100,110]",0.2773892773892774,105.4009324009324,858
"(110,120]",0.30027932960893855,115.40083798882682,716
"(120,130]",0.2777777777777778,125.30651340996168,522
"(130,140]",0.25971370143149286,135.26789366053168,489
"(140,150]",0.300531914893617,145.35638297872342,376
"(150,160]",0.2618296529968454,155.09463722397476,317
"(160,170]",0.25161290322580643,165.1032258064516,310
"(170,180]",0.24124513618677043,175.5408560311284,257
"(180,190]",0.2599118942731278,185.58149779735683,227
"(190,200]",0.3072916666666667,195.70833333333334,192
NA,0.5005098919029166,NA,4903
